Date,Activity,Distance (miles),Pace/Mile,Time,Heart Rate Avg
2024-10-03,Ride,4.47,5:30,0:24:36,N/A
2024-10-02,Ride,4.54,6:01,0:27:24,N/A
2024-10-02,Run,4.3,9:18,0:40:03,N/A
2024-09-29,Run,3.53,9:20,0:32:55,N/A
2024-09-26,Run,4.36,10:00,0:43:39,N/A
2024-09-23,Run,4.22,9:24,0:39:41,N/A
2024-09-22,Ride,14.6,4:54,1:11:35,N/A
2024-09-21,Run,2.18,9:47,0:21:19,N/A
2024-09-15,Run,7.01,10:04,1:10:39,N/A
2024-09-11,Run,3.46,8:27,0:29:18,N/A
2024-09-08,Ride,26.1,4:59,2:10:29,N/A
2024-09-06,Run,4.34,9:01,0:39:09,N/A
2024-09-04,Ride,10.15,4:24,0:44:49,N/A
2024-09-02,Ride,23.98,4:33,1:49:14,N/A
2024-08-27,Run,3.56,9:23,0:33:29,N/A
2024-08-25,Ride,21.37,4:24,1:34:06,N/A
2024-08-24,Ride,10.22,4:57,0:50:39,N/A
2024-08-22,Ride,11.99,5:34,1:06:49,N/A
2024-08-20,Swim,0.64,31:35,0:20:07,N/A
2024-08-19,Ride,10.06,5:24,0:54:24,N/A
2024-08-16,Ride,10.27,5:35,0:57:29,N/A
2024-08-14,Run,2.12,9:45,0:20:40,N/A
2024-08-11,Swim,0.98,31:35,0:30:55,N/A
2024-08-10,Ride,23.1,5:22,2:04:11,N/A
2024-08-05,Hike,4.46,27:35,2:03:00,N/A
2024-08-02,Run,1.82,9:18,0:16:57,N/A
2024-07-28,Ride,15.55,5:18,1:22:28,N/A
2024-07-24,Ride,10.15,5:21,0:54:24,N/A
2024-07-23,Swim,1.18,26:55,0:31:47,N/A
2024-07-19,Ride,11.36,5:30,1:02:35,N/A
2024-07-17,Run,3.0,9:18,0:27:56,N/A
2024-07-14,Ride,20.05,5:02,1:41:14,N/A
2024-07-13,Run,5.0,9:54,0:49:36,N/A
2024-07-04,Run,3.07,9:44,0:29:55,N/A
2024-07-03,Run,3.0,9:37,0:28:55,N/A
2024-07-02,Run,3.22,9:40,0:31:11,N/A
2024-07-01,Run,3.24,9:12,0:29:50,N/A
2024-06-26,Run,3.09,9:47,0:30:17,N/A
2024-06-23,Run,4.0,10:28,0:41:57,N/A
